NN name,sum time,number of episodes,sum of ranks,number of hits,my score,best score,number of movements,sum loss,sum accuracy,action frequency
2024-05-12-11-13-09,1744,200,1750,365,21221,147532,53974,33.3,121.4,"[677, 687, 953, 648, 1482, 1000, 600, 610, 628, 2653, 624, 1657, 1038, 1105, 551, 2086, 1012, 2298, 638, 1826, 1073, 611, 1910, 601, 1610, 603, 1062, 740, 590, 614, 615, 3432, 1334, 665, 758, 1015, 4033, 1011, 2368, 2285, 725, 1459, 794, 1093]"
2024-05-12-13-51-59,1727,200,1718,323,22561,147679,54875,-198.8,102.1,"[608, 7017, 2248, 733, 606, 870, 596, 780, 571, 3828, 622, 4647, 599, 1963, 556, 610, 634, 576, 2622, 551, 595, 1672, 671, 580, 551, 636, 591, 1283, 1556, 618, 603, 572, 1477, 1359, 511, 614, 661, 2115, 608, 1252, 876, 2323, 1127, 587]"
2024-05-12-16-37-36,1970,200,1726,394,23057,147478,56115,537.7,118.8,"[607, 1271, 1047, 609, 1042, 701, 605, 599, 623, 852, 1741, 2353, 981, 1323, 1902, 622, 944, 2588, 1940, 1179, 701, 559, 690, 5636, 1729, 1016, 1001, 3734, 566, 1719, 603, 872, 1473, 1292, 684, 605, 2093, 1085, 754, 636, 608, 1499, 1559, 1272]"
2024-05-12-16-37-40,1812,200,1739,408,22111,148121,50962,549.3,120.0,"[685, 683, 1707, 1419, 652, 558, 553, 763, 586, 1978, 1202, 717, 3350, 1736, 669, 584, 3776, 607, 558, 521, 579, 625, 1145, 540, 614, 2583, 549, 2793, 899, 561, 547, 584, 3833, 962, 554, 1014, 1248, 677, 564, 565, 572, 3501, 1391, 558]"
2024-05-12-20-15-50,1770,200,1691,397,24252,146961,59364,76.4,115.6,"[2704, 971, 1114, 790, 1707, 836, 693, 832, 1204, 922, 659, 851, 1865, 1161, 1136, 831, 785, 1086, 685, 657, 1699, 1205, 2459, 1024, 8434, 1285, 2069, 856, 706, 720, 846, 651, 1972, 737, 648, 720, 2489, 1124, 2239, 846, 757, 1167, 2302, 720]"
2024-05-12-21-31-54,1731,200,1754,300,19841,149200,51952,60957.2,116.7,"[1178, 1254, 2800, 1205, 873, 826, 847, 927, 1985, 1658, 587, 2114, 1425, 1124, 1202, 586, 1751, 1072, 556, 803, 1396, 686, 677, 984, 3194, 1225, 2004, 720, 543, 988, 945, 622, 703, 1147, 666, 1746, 2070, 1466, 961, 786, 1036, 816, 703, 895]"
2024-05-12-21-32-00,1887,200,1570,412,33032,148499,74392,134.0,120.1,"[32822, 1827, 1549, 723, 730, 771, 687, 1702, 745, 803, 783, 2228, 3647, 736, 703, 735, 982, 763, 742, 803, 820, 831, 766, 729, 1135, 691, 790, 749, 795, 730, 832, 734, 737, 703, 734, 775, 995, 764, 793, 760, 785, 1544, 761, 758]"
2024-05-13-10-41-19,9030,200,1739,400,22657,147859,53664,535408960.1,135.8,"[2055, 1915, 1013, 1130, 1896, 919, 673, 1596, 753, 607, 1361, 980, 1502, 790, 1391, 897, 2424, 1399, 1109, 774, 1817, 2556, 772, 1053, 1797, 925, 997, 1146, 1003, 835, 683, 656, 1549, 833, 1061, 832, 1099, 2152, 740, 861, 1577, 811, 1025, 1500]"
2024-05-13-10-43-20,3029,200,1688,388,24941,146101,56182,41959.7,103.9,"[2181, 1739, 1567, 617, 1681, 1995, 662, 1089, 1796, 731, 772, 1865, 1722, 1109, 2012, 1074, 1478, 1154, 966, 628, 1470, 585, 1151, 892, 887, 1085, 1037, 1555, 2295, 597, 573, 642, 766, 644, 695, 2072, 1190, 648, 989, 652, 1425, 4775, 1265, 1254]"
2024-05-13-16-02-16,1613,200,1730,363,21825,147702,51984,11843.0,114.0,"[1142, 1502, 2278, 1324, 562, 557, 838, 862, 769, 1226, 1303, 5858, 1381, 2291, 772, 585, 3824, 778, 915, 537, 842, 885, 1172, 536, 974, 1227, 857, 1429, 575, 692, 844, 644, 1579, 1591, 578, 540, 1384, 1294, 822, 620, 898, 1006, 935, 556]"
2024-05-13-16-03-29,1517,200,1685,414,24739,147874,55060,25255.4,115.3,"[1093, 1168, 2249, 999, 945, 774, 1339, 915, 603, 824, 1297, 1946, 1232, 1381, 957, 613, 4632, 605, 946, 605, 1309, 597, 899, 572, 981, 1209, 1161, 4674, 649, 606, 590, 638, 3065, 680, 571, 629, 3227, 956, 659, 607, 2834, 1209, 806, 609]"
2024-05-13-18-43-03,9547,1100,9195,1796,146493,812229,352828,35655.20000000001,548.5,"[46111, 5706, 4439, 9687, 12515, 4409, 8850, 9357, 5320, 6203, 7640, 6129, 7382, 6792, 11263, 6985, 16751, 5523, 10747, 6954, 10401, 3887, 14142, 3428, 7779, 5807, 12318, 4220, 3938, 4314, 12871, 6945, 3810, 3254, 6365, 5278, 4704, 4796, 4220, 10431, 6737, 5929, 3554, 3837]"
2024-05-17-09-33-44,13308,1000,6505,4651,243944,1055527,1043908,56716.6,708.7000000000002,"[154381, 8493, 9190, 25630, 11767, 13670, 22138, 14354, 8769, 13165, 21809, 11577, 12260, 8702, 22601, 8519, 8678, 9424, 10370, 44095, 9235, 40003, 9285, 10173, 8827, 57964, 13015, 8524, 8820, 8293, 9042, 17933, 8302, 8536, 42188, 9375, 60739, 45782, 8349, 152324, 27273, 22596, 8402, 8336]"
2024-05-17-14-27-00,0,0,0,0,0,0,0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-05-17-22-42-52,18158,1000,5681,5943,290188,1182535,1303286,42383.5,548.9,"[105367, 27243, 20681, 20218, 53445, 43054, 39420, 17240, 22416, 14494, 27025, 25390, 26719, 28258, 31865, 20072, 21798, 19150, 36169, 40618, 26002, 28385, 34464, 14112, 17112, 48071, 21929, 35636, 13110, 15432, 23160, 42544, 14884, 12414, 25704, 20804, 65960, 24703, 27591, 39691, 25971, 53026, 22252, 8687]"
